Sport,Debut
Archery,Paris 1900
Artistic Gymnastics,Athens 1896
Artistic Swimming,Los Angeles 1984
Athletics,Athens 1896
Badminton,Barcelona 1992
Baseball Softball,Barcelona 1992
Basketball,Berlin 1936
Basketball 3x3,Tokyo 2020
Beach Volleyball,Atlanta 1996
Boxing,St. Louis 1904
Breaking,Paris 2024
Canoe Slalom,Munich 1972
Canoe Sprint,Berlin 1936
Cricket,Los Angeles 2028
Cycling BMX Freestyle,Tokyo 2020
Cycling BMX Racing,Beijing 2008
Cycling Mountain Bike,Atlanta 1996
Cycling Road,Athens 1896
Cycling Track,Athens 1896
Diving,St. Louis 1904
Equestrian,Paris 1900
Fencing,Athens 1896
Flag Football,Los Angeles 2028
Football,Paris 1900
Golf,Paris 1900
Handball,Berlin 1936
Hockey,London 1908
Judo,Tokyo 1964
Karate,Tokyo 2020
Marathon Swimming,Beijing 2008
Modern Pentathlon,Stockholm 1912
Rhythmic Gymnastics,Los Angeles 1984
Rowing,Paris 1900
Rugby Sevens,Rio 2016
Sailing,Paris 1900
Shooting,Athens 1896
Skateboarding,Tokyo 2020
Sport Climbing,Tokyo 2020
Squash,Los Angeles 2028
Surfing,Tokyo 2020
Swimming,Athens 1896
Table Tennis,Seoul 1988
Taekwondo,Sydney 2000
Tennis,Athens 1896
Trampoline,Sydney 2000
Triathlon,Sydney 2000
Volleyball,Tokyo 1964
Water Polo,Paris 1900
Weightlifting,Athens 1896
Wrestling,Athens 1896