Marca temporal,¿Qué tan frecuentemente ves los JJ.OO.? ,¿Qué deporte de los JJ.OO. disfrutas más ver? ,¿De qué sueles estar más pendiente durante los JJ.OO.? ,¿Una palabra que asocias con JJ.OO.? 
11/5/2026 15:42:25,Algunas ediciones,"Atletismo, Fútbol",Los atletas chilenos,Élite
11/5/2026 15:44:53,Algunas ediciones,"Gimnasia, Basquetbol","Tabla de medallas, Los atletas chilenos",Oro
11/5/2026 15:45:21,Algunas ediciones,Otro,Tabla de medallas,Deportes
11/5/2026 15:45:41,Cada edición sin falta,"Atletismo, Gimnasia, Otro","Los atletas chilenos, Ceremonias de apertura y cierre, Récords mundiales",esfuerzo
11/5/2026 15:45:42,Nunca,Gimnasia,"Los atletas chilenos, Récords mundiales",Antorcha 
11/5/2026 15:46:09,Cada edición sin falta,Atletismo,"Los atletas chilenos, Récords mundiales",Triunfo 
11/5/2026 15:46:41,Cada edición sin falta,"Atletismo, Natación",Récords mundiales,Deporte 
11/5/2026 15:47:00,Algunas ediciones,"Atletismo, Natación, Fútbol","Los atletas chilenos, Narrativas o memes",Deporte
11/5/2026 15:48:23,Algunas ediciones,"Atletismo, Natación, Gimnasia, Fútbol","Los atletas chilenos, Ceremonias de apertura y cierre, Récords mundiales",usain bolt
11/5/2026 15:55:38,Algunas ediciones,"Natación, Otro",Narrativas o memes,Variedad 
11/5/2026 16:01:35,Algunas ediciones,"Atletismo, Otro","Tabla de medallas, Ceremonias de apertura y cierre, Récords mundiales",Evento
11/5/2026 16:04:22,Nunca,Atletismo,Récords mundiales,Deporte
11/5/2026 16:07:34,Algunas ediciones,Gimnasia,"Tabla de medallas, Ceremonias de apertura y cierre",Medalla 
11/5/2026 16:11:36,Algunas ediciones,"Gimnasia, Otro",Ceremonias de apertura y cierre,el patinaje artistico
11/5/2026 16:11:54,Algunas ediciones,Basquetbol,"Los atletas chilenos, Récords mundiales",Deporte 
11/5/2026 16:17:27,Nunca,Otro,Tabla de medallas,patinaje
11/5/2026 16:21:45,Algunas ediciones,"Gimnasia, Fútbol","Ceremonias de apertura y cierre, Récords mundiales, Narrativas o memes",Deportividad
11/5/2026 16:36:04,Cada edición sin falta,"Natación, Gimnasia, Otro","Tabla de medallas, Los atletas chilenos",Deporte
11/5/2026 16:47:08,Algunas ediciones,"Atletismo, Natación, Gimnasia","Tabla de medallas, Los atletas chilenos, Récords mundiales",Deporte
11/5/2026 16:52:11,Nunca,Otro,Narrativas o memes,Deporte 
11/5/2026 16:59:46,Cada edición sin falta,"Atletismo, Gimnasia, Otro","Los atletas chilenos, Ceremonias de apertura y cierre, Récords mundiales",Antorcha
11/5/2026 17:04:03,Cada edición sin falta,"Atletismo, Natación, Gimnasia, Fútbol, Basquetbol, Otro","Tabla de medallas, Los atletas chilenos, Récords mundiales",Jerarquía 
11/5/2026 17:17:41,Algunas ediciones,"Fútbol, Otro","Los atletas chilenos, Récords mundiales, Narrativas o memes",Impresionante
11/5/2026 17:27:11,Algunas ediciones,Fútbol,Los atletas chilenos,Competencia 
11/5/2026 17:32:02,Nunca,"Atletismo, Gimnasia, Otro","Los atletas chilenos, Récords mundiales, Narrativas o memes",Jotalilla en los paralimpicos
11/5/2026 17:45:27,Algunas ediciones,"Atletismo, Gimnasia","Tabla de medallas, Los atletas chilenos, Récords mundiales",Medalla
11/5/2026 17:48:47,Algunas ediciones,"Atletismo, Natación, Gimnasia","Tabla de medallas, Los atletas chilenos, Récords mundiales",UsainB
11/5/2026 18:35:31,Algunas ediciones,"Atletismo, Natación, Gimnasia, Fútbol, Basquetbol",Tabla de medallas,Competir
11/5/2026 18:52:36,Nunca,Otro,Narrativas o memes,Rendimiento
11/5/2026 18:54:29,Algunas ediciones,"Atletismo, Natación, Fútbol","Tabla de medallas, Los atletas chilenos, Récords mundiales",Récord 
11/5/2026 19:19:48,Algunas ediciones,"Natación, Gimnasia",Ceremonias de apertura y cierre,Tradicion
11/5/2026 20:04:55,Algunas ediciones,Basquetbol,Narrativas o memes,Antorcha
11/5/2026 20:45:13,Algunas ediciones,"Atletismo, Gimnasia, Fútbol",Récords mundiales,Récords sobre récords 
11/5/2026 20:48:01,Algunas ediciones,Atletismo,"Los atletas chilenos, Ceremonias de apertura y cierre, Narrativas o memes",Deportista
11/5/2026 21:55:27,Nunca,Fútbol,Los atletas chilenos,Negros
11/5/2026 22:15:10,Cada edición sin falta,"Gimnasia, Otro","Tabla de medallas, Los atletas chilenos, Narrativas o memes",Orgullo 
12/5/2026 0:53:17,Cada edición sin falta,Otro,Récords mundiales,deporte
12/5/2026 1:45:43,Algunas ediciones,"Atletismo, Natación, Gimnasia, Fútbol","Tabla de medallas, Los atletas chilenos, Récords mundiales",Récord 
12/5/2026 2:38:42,Algunas ediciones,"Fútbol, Otro",Narrativas o memes,Usain bolt